C1_AGAV	Swift Agav	Агав Прыти	AGAV	Агав 
C1_ALNOLDI	Swift Rafflesia Alnoldi	Раффлесия Арнольди Прыти	ALNOLDI	Раффлесия Арнольди 
C1_ANGRA_MANTIS	Swift Angra Mantis	Злой богомол Прыти	ANGRA_MANTIS	Злой богомол 
C1_ANTIQUE_BOOK	Swift Antique book	Древняя книга Прыти	ANTIQUE_BOOK	Древняя книга 
C1_ARGIOPE	Swift Argiope	Аргиопа Прыти	ARGIOPE	Аргиопа 
C1_BANSHEE	Swift Banshee	Банши Прыти	BANSHEE	Банши 
C1_BLOOD_BUTTERFLY	Swift Blood Butterfly	Кровавая бабочка Прыти	BLOOD_BUTTERFLY	Кровавая бабочка 
C1_CARAMEL	Swift Caramel	Карамель Прыти	CARAMEL	Карамель 
C1_CENTIPEDE	Swift Centipede	Многоножка Прыти	CENTIPEDE	Многоножка 
C1_COCO	Swift Coco	Коко Прыти	COCO	Коко 
C1_CREAMY	Swift Creamy	Крими Прыти	CREAMY	Крими 
C1_DEATHWORD	Swift Deathword	Слово смерти Прыти	DEATHWORD	Слово смерти 
C1_DIMIK_1	Swift Dimik	Димик Прыти	DIMIK_1	Димик 
C1_DRAGON_TAIL	Swift Dragon tail	Стрекоза Прыти	DRAGON_TAIL	Стрекоза 
C1_DRYAD	Swift Dryad	Дриада Прыти	DRYAD	Дриада 
C1_ELDER_WILOW	Swift Elder Willow	Древний пенек Прыти	ELDER_WILOW	Древний пенек 
C1_FAKE_ANGEL	Swift Fake Angel	Фальшивый ангел Прыти	FAKE_ANGEL	Фальшивый ангел 
C1_FUR_SEAL	Swift Seal	Морской котик Прыти	FUR_SEAL	Морской котик 
C1_GEOGRAPHER	Swift Geographer	Географ Прыти	GEOGRAPHER	Географ 
C1_GLD_DARK_SHADOW	Swift Dark shadow	Черная тень Прыти	GLD_DARK_SHADOW	Черная тень 
C1_GOBLIN_1	Swift Goblin	Гоблин с кинжалом Прыти	GOBLIN_1	Гоблин с кинжалом 
C1_GREATEST_GENERAL	Swift Greatest General	Великий генерал Прыти	GREATEST_GENERAL	Великий генерал 
C1_HILL_WIND_1	Swift Hill Wind	Степной ветер Прыти	HILL_WIND_1	Степной ветер 
C1_HORN_SCARABA	Swift Horn Scaraba	Однорогий скараб Прыти	HORN_SCARABA	Однорогий скараб 
C1_ICE_TITAN	Swift Ice Titan	Ледяной титан Прыти	ICE_TITAN	Ледяной титан 
C1_KARAKASA	Swift Karakasa	Каракаса Прыти	KARAKASA	Каракаса 
C1_KOBOLD_ARCHER	Swift Kobold Archer	Кобольд-лучник Прыти	KOBOLD_ARCHER	Кобольд-лучник 
C1_LES	Swift Les	Мавка Прыти	LES	Мавка 
C1_LOLI_RURI	Swift Loli Ruri	Лоли Рури Прыти	LOLI_RURI	Лоли Рури 
C1_MAGMARING	Swift Magmaring	Магмарин Прыти	MAGMARING	Магмарин 
C1_MANTIS	Swift Mantis	Богомол Прыти	MANTIS	Богомол 
C1_MEDUSA	Swift Medusa	Медуза Прыти	MEDUSA	Медуза 
C1_METALLER	Swift Metaller	Металлист Прыти	METALLER	Металлист 
C1_MINOROUS	Swift Minorous	Минотавр Прыти	MINOROUS	Минотавр 
C1_MOROCC_1	Swift Morroc	Слуга Моррока Прыти	MOROCC_1	Слуга Моррока 
C1_MUMMY	Swift Mummy	Мумия Прыти	MUMMY	Мумия 
C1_NG_WANDER_MAN	Swift Wanderer	Странник Прыти	NG_WANDER_MAN	Странник 
C1_NOVUS	Swift Novus	Новус Прыти	NOVUS	Новус 
C1_ORC_SKELETON	Стремительный орк-скелет 	Орк-скелет Прыти	ORC_SKELETON	Орк-скелет 
C1_PASANA	Swift Pasana	Пасана Прыти	PASANA	Пасана 
C1_PETIT	Swift Petit	Земляной дракончик Прыти	PETIT	Земляной дракончик 
C1_PIRANHA	Swift Piranha	Пиранья Прыти	PIRANHA	Пиранья 
C1_POISON_TOAD	Swift Poison Toad	Ядовитая жаба Прыти	POISON_TOAD	Ядовитая жаба 
C1_PORING	Swift Poring	Поринг Прыти	PORING	Поринг 
C1_RAFFLESIA	Swift Rafflesia	Раффлесия Прыти	RAFFLESIA	Раффлесия 
C1_RAYDRIC	Swift Raydric	Райдрик Прыти	RAYDRIC	Райдрик 
C1_RETRIBUTION	Swift Retribution	Ангел возмездия Прыти	RETRIBUTION	Ангел возмездия 
C1_RIDEWORD	Swift Rideword	Злое слово Прыти	RIDEWORD	Злое слово 
C1_SAILOR_SKELETON	Swift Sailor Skull	Sailor SkullПрыти	SAILOR_SKELETON	Sailor Skull
C1_SAVAGE_BABE	Swift Savage Bebe	Поросенок Прыти	SAVAGE_BABE	Поросенок 
C1_SHELLFISH	Swift Shellfish	Раковина Прыти	SHELLFISH	Раковина 
C1_SIROMA	Swift Siroma	Сирома Прыти	SIROMA	Сирома 
C1_SLEEPER	Swift Sleeper	Соня Прыти	SLEEPER	Соня 
C1_SOHEE	Swift Sohee	Сохи Прыти	SOHEE	Сохи 
C1_SPORE	Swift Spore	Спора Прыти	SPORE	Спора 
C1_STEM_WORM	Swift Stem Worm	Стебельный жук Прыти	STEM_WORM	Стебельный жук 
C1_TEDDY_BEAR	Swift Teddy Bear	Плюшевый мишка Прыти	TEDDY_BEAR	Плюшевый мишка 
C1_VANBERK	Swift Vanberk	Ванберк Прыти	VANBERK	Ванберк 
C1_VIOLY	Swift Violy	Скрипачка Прыти	VIOLY	Скрипачка 
C1_WOLF	Swift Wolf	Волк Прыти	WOLF	Волк 
C1_YOYO	Swift Yoyo	Йойо Прыти	YOYO	Йойо 
C1_ZOMBIE_SLAUGHTER	Swift Zombie Slaughter	Зомби-убийца Прыти	ZOMBIE_SLAUGHTER	Зомби-убийца 
C2_ACIDUS_	Solid Blue Acidus	Ацидус Мощи	ACIDUS_	Ацидус 
C2_ALLIGATOR	Solid Alligator	Аллигатор Мощи	ALLIGATOR	Аллигатор 
C2_ANDRE	Solid Andre	Андре Мощи	ANDRE	Андре 
C2_ANTIQUE_BOOK	Solid Antique book	Древняя книга Мощи	ANTIQUE_BOOK	Древняя книга 
C2_ARCLOUSE	Solid Arclouse	Арклоуз Мощи	ARCLOUSE	Арклоуз 
C2_BANASPATY	Solid Banaspaty	Банасфати Мощи	BANASPATY	Банасфати 
C2_BUNGISNGIS	Solid Nungisngis	Бангис Мощи	BUNGISNGIS	Бангис 
C2_CENERE	Solid Cenere	Сенере Мощи	CENERE	Сенере 
C2_COCO	Solid Coco	Коко Мощи	COCO	Коко 
C2_CORNUTUS	Solid Cornutus	Корнатус Мощи	CORNUTUS	Корнатус 
C2_DEATHWORD	Solid Deathword	Слово смерти Мощи	DEATHWORD	Слово смерти 
C2_DEVIRUCHI	Solid Deviruchi	Девиручи Мощи	DEVIRUCHI	Девиручи 
C2_DRACO	Solid Draco	Драко Мощи	DRACO	Драко 
C2_DROSERA	Solid Drosera	Росянка Мощи	DROSERA	Росянка 
C2_ELDER_WILOW	Solid Elder Wilow	Древний пенек Мощи	ELDER_WILOW	Древний пенек 
C2_FABRE	Solid Fabre	Фабре Мощи	FABRE	Фабре 
C2_FREEZER	Solid Freezer	Ледяная черепаха Мощи	FREEZER	Ледяная черепаха 
C2_GEOGRAPHER	Solid Geographer	Географ Мощи	GEOGRAPHER	Географ 
