gef_fild00	CHONCHON
gef_fild01	RODA_FROG
gef_fild02	COCO
gef_fild03	ORC_LADY
gef_fild04	MANDRAGORA
gef_fild05	CREAMY
gef_fild06	PETIT
gef_fild07	PUPA
gef_fild08	PETIT_
gef_fild09	AMBERNITE
gef_fild10	ORK_WARRIOR
gef_fild11	GOBLIN_1
prt_fild00	RODA_FROG
prt_fild01	LUNATIC
prt_fild02	STAINER
prt_fild03	YOYO
prt_fild04	AMBERNITE
prt_fild05	HORNET
prt_fild06	FABRE
cmd_fild01	GREEN_IGUANA
cmd_fild02	FUR_SEAL
cmd_fild03	ALLIGATOR
cmd_fild04	SEE_OTTER
cmd_fild06	GOLEM
cmd_fild07	RAGGLER
cmd_fild08	DENIRO
cmd_fild09	METALLER
glast_01	GARGOYLE
um_fild01	DRYAD
um_fild02	WOOTAN_FIGHTER
um_fild03	PARASITE
um_fild04	WILD_ROSE
prt_fild07	ROCKER
prt_fild08	PORING
prt_fild09	MAGNOLIA
prt_fild10	ELDER_WILOW
prt_fild11	GOBLIN_5
mjolnir_01	CARAMEL
mjolnir_02	HORN
mjolnir_03	SIDE_WINDER
mjolnir_04	DRILLER
mjolnir_05	ARGIOPE
mjolnir_06	POISON_SPORE
mjolnir_07	SAVAGE
mjolnir_08	KIND_OF_BEETLE
mjolnir_09	SAVAGE_BABE
mjolnir_10	ARGOS
mjolnir_11	ARGIOPE
mjolnir_12	DUSTINESS
moc_fild02	MUKA
pay_fild01	WILOW
pay_fild02	SNAKE
pay_fild03	FABRE
pay_fild04	POPORING
pay_fild06	WORM_TAIL
pay_fild07	BIGFOOT
pay_fild08	SPORE
pay_fild09	ELDER_WILOW
pay_fild10	GREATEST_GENERAL
hu_fild02	NOVUS
hu_fild04	NOVUS_
hu_fild06	SHELLFISH
ve_fild01	GALION
ve_fild02	DROSERA
ve_fild03	MAGMARING
ve_fild04	MUSCIPULAR
ve_fild04	MUSCIPULAR
ve_fild04	MUSCIPULAR
ve_fild07	STAPO
bif_fild01	MIMING
bif_fild02	LITTLE_FATUM
ra_fild01	DESERT_WOLF
ra_fild03	HILL_WIND_1
ra_fild04	HILL_WIND_1
ra_fild05	KOBOLD_1
ra_fild06	KOBOLD_ARCHER
ra_fild06	KOBOLD_ARCHER
ra_fild08	ANACONDAQ
ra_fild08	ANACONDAQ
ra_fild08	ANACONDAQ
ra_fild12	ROWEEN
ra_fild12	ROWEEN
ra_fild12	ROWEEN
ein_fild02	UNGOLIANT
ein_fild03	TEDDY_BEAR
ein_fild04	VENOMOUS
ein_fild05	NOXIOUS
ein_fild06	MOLE
ein_fild07	METALING
ein_fild08	METALING
ein_fild09	PORCELLIO
yuno_fild01	GEOGRAPHER
yuno_fild02	SLEEPER
yuno_fild03	HARPY
yuno_fild04	HARPY
yuno_fild06	SLEEPER
yuno_fild11	GOAT
yuno_fild12	GEOGRAPHER
ama_fild01	KARAKASA
bra_fild01	TOUCAN
ma_fild01	TIYANAK
ma_fild02	BUNGISNGIS
moc_fild01	PECOPECO
moc_fild01	PECOPECO
moc_fild01	PECOPECO
moc_fild01	PECOPECO
moc_fild07	DROPS
moc_fild07	DROPS
moc_fild07	DROPS
moc_fild07	DROPS
moc_fild11	DESERT_WOLF_B
moc_fild12	PICKY
moc_fild12	PICKY
moc_fild12	PICKY
moc_fild18	SCORPION
ayo_fild01	SMOKIE
gon_fild01	RICE_CAKE_BOY
lhz_fild01	RAFFLESIA
lhz_fild02	STEM_WORM
lhz_fild03	BREEZE
ecl_fild01	MENBLATT
